study;id;pub;N ;CG;EG;grade;weeks;sessions;minutes;dev;m_t1_cg;sd_t1_cg;m_t2_cg;sd_t2_cg;m_t1_eg;sd_t1_eg;m_t2_eg;sd_t2_eg;;
1;54;si;437;192;245;2;18;;;pc;75.58;11.97;72.42;10.96;71.19;12.35;71.8;13.48;;
2;9610;no;115;58;57;1;4;8;45;pc;156.22;23.84;156.05;26.47;150.36;30.52;151.39;29.72;;
3;9611;no;114;63;51;1;4;8;45;pc;149.37;30.12;145.7;28.88;142.11;33.06;145.82;30.17;;
4;9612;no;129;60;69;1;4;8;45;pc;145.03;26.91;144.87;28.02;152.03;24.9;162.01;23.93;;
5;432;si;76;36;40;1;4;8;40;pc;77.5;9.38;74.2;12;77.7;13.2;77.3;15.6;;
5;432;si;77;36;41;1;4;8;40;pc;77.5;9.38;74.2;12;74.7;12.4;75;13.5;;
5;432;si;79;36;43;1;4;8;40;pc;77.5;9.38;74.2;12;74.1;12.6;78.5;12.04;;
6;436;si;193;76;117;2;18;18;30;pc;67.99;13.11;68.53;11.38;70.58;13.48;68.2;13.17;;
7;982;no;80;40;40;1;7;7;45;pc;46.5;8.55;47.53;7.88;41.55;8.79;46.85;8.28;;
8;983;si;1168;526;642;1;10;;30;pc;3.11;0.98;3.18;0.88;3.14;0.94;3.05;0.96;;
8;983;si;1168;526;642;1;10;;30;pc;4.21;0.78;4.28;0.67;4.18;0.7;4.14;0.7;;
8;983;si;1168;526;642;1;10;;30;pc;3.46;0.87;3.45;0.82;3.53;0.8;3.4;0.84;;
8;983;si;1168;526;642;1;10;;30;pc;3.72;0.82;3.67;0.76;3.68;0.78;3.63;0.82;;
9;964;no;168;84;84;2;9;9;30;pc;22.15;2.695;22.12;2.881;22.07;2.723;23.21;2.807;;
9;964;no;168;84;84;2;9;9;30;pc;25.93;4.219;26.05;4.177;25.89;4.294;26.21;4.174;;
9;964;no;168;84;84;2;9;9;30;pc;28.18;4.867;28.23;4.821;27.94;4.624;28.11;4.83;;
9;964;no;168;84;84;2;9;9;30;pc;27.86;3.275;27.92;3.451;27.64;3.4;27.69;3.23;;
9;964;no;168;84;84;2;9;9;30;pc;37.23;8.014;37.05;8.093;37.58;8.244;37.64;7.972;;
9;964;no;168;84;84;2;9;9;30;pc;52.36;3.266;52.44;3.198;52.1;2.96;52.11;2.896;;
9;964;no;168;84;84;2;9;9;30;pc;27.11;9.53;26.52;9.47;27.04;9.46;27.27;9.23;;
9;964;no;168;84;84;2;9;9;30;pc;34.21;3.72;34;3.63;33.7;3.91;33.69;3.84;;
9;964;no;168;84;84;2;9;9;30;pc;30.86;9.15;30.63;8.91;31.25;9.132;32.15;8.764;;
10;584;si;79;41;38;2;14;;;pc;3.89;0.64;3.77;0.61;3.9;0.65;4.24;0.47;;
10;584;si;79;41;38;2;14;;;pc;3.1;0.71;2.99;0.84;3.25;0.76;3.65;0.61;;
10;584;si;79;41;38;2;14;;;pc;3.09;0.85;3.07;0.8;3.4;0.8;3.5;0.81;;
10;584;si;79;41;38;2;14;;;pc;2.91;0.82;2.6;0.84;2.96;0.88;3.39;0.79;;
11;610;si;633;306;327;2;9;45;20;con;36.13;8.61;36.21;8.97;36.46;9.04;36.53;9.04;;
12;452;si;132;66;66;1;1;;35;pc;55.24;11;65.42;8.8;55.03;12.17;66.79;8.99;;
13;669;no;143;75;68;1;9;9;40;pc;2.67;4.9;4.17;8.72;3.97;4.25;4.9;7.34;;
13;669;no;143;75;68;1;9;9;40;pc;6.79;4.19;6.56;7.81;5.5;4.39;6.94;7.91;;
14;971;si;91;27;64;1;2;8;20;app;28.085;7.475;25.17;8.075;27.905;7.075;28.275;7.34;;
14;971;si;90;26;64;1;2;8;20;app;27.945;6.05;26.24;6.72;30.945;6.405;31.735;6.99;;
15;959;si;46;23;23;1;1;1;240;app;3.3;0.76;3.24;0.82;3.53;0.62;3.74;0.79;; 
16;476;si;59;28;31;1;5;10;20;pc;3.37;0.62;3.22;0.82;3.36;0.51;3.66;0.69;;
17;988;si;56;27;29;1;10;;20;con;59.85;7.78;59.17;9.01;58.17;8.48;62.42;7.23;;
18;985;no;40;12;28;2;6;12;41;pc;62.5;4.96;60.42;4.38;66.04;8.65;70.93;8.43;;
19;611;si;40;19;21;2;10;40;20;con;17.42;2.99;16;3.92;16.67;3.28;16.67;3.14;;
20;935;si;94;44;50;1;1;5;20;app;2.75;0.74;2.62;0.87;2.72;0.84;3.04;0.8;;
20;935;si;94;44;50;1;1;5;20;app;2.97;0.85;2.86;0.99;3.01;0.95;3.28;0.92;;
21;990;no;43;24;19;2;28;28;45;pc;58.5;8;59.2;8.5;66;5.7;65.8;5.3;;
21;990;no;43;24;19;2;28;28;45;pc;43.6;4.3;43.6;4.9;47.3;3;46.3;4.6;;
21;990;no;43;24;19;2;28;28;45;pc;38.6;7.7;38.2;6.9;45.8;5.3;43.4;8;;
21;990;no;43;24;19;2;28;28;45;pc;18.8;4.1;18.6;4.3;22.9;2.7;21.5;3.7;;
